,상품명,정가,할인가
50,오휘[데일리선 4ml 증정] [뭉컁PICK/3초썬] 오휘 3아워 블러링 선파우더 20g 2종 (클리어/피치베이지),"48,000","37,440"
51,좋은느낌[7월 올영픽/2025 New] 좋은느낌 썸머에디션 생리대 (패드/입오버),"9,000","6,750"
52,덴티스테덴티스테 민트볼 20개 5팩,"29,250","24,870"
53,클리오[NO.1 아이라이너] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너,"11,000","7,700"
54,에스트라[올영 어워즈 1등 크림]에스트라 아토베리어365 크림 80ml,"33,000","29,700"
55,에뛰드[7월 올영픽/태닝 시나모롤] 에뛰드 컬 픽스 마스카라 1+1 기획,"16,000","15,500"
56,라보에이치[7월올영픽] 라보에이치 두피강화샴푸 750+125ml 외 택1,"36,000","25,900"
57,바이오더마바이오더마 센시비오 H2O 850ml(클렌징워터),"37,500","25,900"
58,넘버즈인넘버즈인 1번~5번 마스크팩 10매 기획 4종 중 택 1,"40,000","18,500"
59,정샘물정샘물 에센셜 스킨 누더 쿠션(본품+리필),"45,000","38,250"
60,메디힐[7월 올영픽/마켓백 증정] 메디힐 PDRN 모공 탄력 패드 100+100매 태닝 쿠로미 한정 기획,"39,900","28,900"
61,딜라이트 프로젝트[7월 올영픽] 딜라이트 프로젝트 베이글칩 & 단백질쉐이크 (산리오 에디션),"2,700","2,700"
62,라로슈포제[7월 올영픽] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml 기획 (+멜라B3 세럼 3ml 증정),"50,000","35,400"
63,빌리프[본품동일제품튜브 25ml 증정] [폭탄듀오] 빌리프 더 트루 크림 모이스춰라이징 밤/아쿠아 밤 30ml 1+1 기획,"32,000","23,400"
64,셀퓨전씨[7월올영픽/20매추가증정] 셀퓨전씨 포스트 알파 쿨링 패드 70매 (+20매) 태닝 마이멜로디 기획,"23,000","14,900"
65,이너랩[비니PICK]셀트리온 이너랩 리쥬글로우 PDRN 글루타치온 30포 (1개월분),"18,800","14,900"
66,딜라이트 프로젝트[온라인단독] 딜라이트 프로젝트 베이글칩 5입 선물세트,"13,000","8,900"
67,닥터지[저자극/무기자차] 닥터지 그린 마일드 업 선 플러스 50ml 기획 (50+20/50+50),"29,000","26,200"
68,라곰[수분 폼클렌징] 라곰 셀럽 마이크로 폼 클렌저 120ml,"15,000","13,500"
69,쏘내추럴쏘내추럴 올 데이 메이크업 픽서 120ml (안개분사 캔타입),"24,000","16,800"
70,달바[7월올영픽/생기톤업] 달바 핑크 톤업 선크림 듀오 기획 (50ml+50ml),"51,000","33,900"
71,VT[7월 올영픽/보습 광채탄력] VT PDRN 에센스 100 30ml기획 (+1.5ml*3개+리들샷 100 1ml*3개),"45,000","23,900"
72,스킨유[차정원PICK] 스킨유 착색개선 결케어 앰플 바디 미스트 150ml,"19,900","17,500"
73,어노브[신규향 듀오 출시] 어노브 딥 데미지 리페어 샴푸 500g 2입 2종 택1,"34,000","26,800"
74,브링그린[피지쓱싹] 브링그린 티트리시카수딩토너 500mL 기획,"27,000","16,900"
75,힌스[리뷰이벤트/미니쿠션증정] 힌스 커버 마스터 핑크 쿠션 기획(본품+리필),"34,000","26,850"
76,아누아[화해1위] 아누아 피디알엔 히알루론산 캡슐 100 세럼 30mL 기획 (+30mL 리필팩),"58,500","29,500"
77,어나더페이스[반쪽모공팩] 어나더페이스 펩타테놀 수분 밸런스 하이드로겔 마스크팩 4매,"20,000","14,960"
78,라운드랩[1등썬] 라운드랩 자작나무 수분 선크림 50ml 기획 (+클렌저 20ml),"25,000","16,900"
79,트리헛[7월 올영픽/태닝 산리오캐릭터즈+스파츌라 증정] 트리헛 시어 슈가 스크럽 510g 단품/기획,"22,500","18,000"
80,딜라이트 프로젝트딜라이트 프로젝트 단백질쉐이크 단품/7개입 8종 택1,"3,900","3,900"
81,바닐라코[스누피 콜라보] 바닐라코 클린잇제로 클렌징밤 100ml 기획 3종 택1 (+스누피 미니거울 증정),"20,000","15,800"
82,쏘내추럴[7월 올영픽/태닝 마이멜로디] 쏘내추럴 올 데이 타이트 메이크업 세팅 픽서 120ml 더블기획(+러기지택),"42,000","31,500"
83,투크[미니 속광도화밤 증정 기획] 투크 워터프루프 슬림 아이라이너 17colors (기획/단품),"13,900","13,400"
84,성분에디터[리뉴얼/잡티미백] 성분에디터 머루포도 비타씨 다크 스팟 앰플 40ml,"28,000","14,900"
85,낫포유[6년연속 1위] 낫포유 클리어 바디미스트 200ml 기획 및 단품,"21,900","18,900"
86,메디큐브 에이지알[한정판/소량입고] [광채토닝] 메디큐브 부스터프로 헬로키티 에디션 (+헬로키티헤드캡+소독티슈),"418,800","375,000"
87,메디큐브 에이지알[뷰티디바이스 1위] [광채토닝 메디큐브 부스터프로 쿠로미 에디션(+쿠로미헤드캡+세안밴드+디바이스클리너+스티커2종),"418,800","375,000"
88,에뛰드[7월 올영픽/태닝 포차코] 에뛰드 포근 픽싱 틴트,"16,000","12,800"
89,웨이크메이크[7월 올영픽/태닝 포차코][+아이 프라이머 증정]웨이크메이크 소프트 블러링 아이팔레트 25COLOR(단품/기획),"34,000","23,800"
90,에이프릴스킨[7월 올영픽/구매인증 이벤트] 에이프릴스킨 히어로쿠션 핑크에디션(본품+리필+퍼프2개),"33,000","24,900"
91,페리페라페리페라 스피디 스키니 브로우,"6,000","6,000"
92,일리윤일리윤 세라마이드 아토 집중크림 150ml,"13,500","9,900"
93,토리든[단독기획] 토리든 다이브인 저분자 히알루론산 세럼 50ml 기획(+멀티패드 10매),"22,000","16,500"
94,연작[올영PICK/화잘먹 베이스] 연작 스킨 퍼펙팅 프로텍티브 베이스프렙 25ml/40ml 택1,"33,000","29,000"
95,메이크프렘[리필기획] 메이크프렘 세이프 미 릴리프 모이스처 클렌징밀크 기획 (200ml+100ml 리필),"28,000","21,000"
96,바이오가[대용량] 바이오가 등드름 바디워시 베타인살리실레이트 1000ml,"25,500","25,500"
97,아누아[말끔모공/피지순삭] 아누아 어성초 클렌징 듀오 기획 (오일 200ml+폼 150ml),"34,000","25,500"
98,AHC[보송/1등 노세범] AHC 마스터즈 에어리치 선스틱 22g,"24,000","19,200"
99,"바이오던스[7월 올영픽/라부부이벤트] 바이오던스 리얼 딥 마스크 4매 (콜라겐, 세라놀, 비타, 씨켈프)","20,000","17,900"
100,토리든[증량기획] 토리든 다이브인 저분자 히알루론산 토너 300ml 기획(+100ml 추가 증정),"21,000","15,700"
